Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 15, 2025 - January 9, 2026"
Statement,Data,WhenGenerated,"2026-01-11, 12:07:15 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,DUK415187
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Mark-to-Market Performance Summary,Data,Stocks,TMO,16,13,425.3400,618.8600,2958.05,9.69,-1.000498,12.47,2979.209502,
Mark-to-Market Performance Summary,Data,Stocks,TMUS,0,47,--,200.5600,-426.29,42.3,-1,0,-384.99,
Mark-to-Market Performance Summary,Data,Stocks,TSLA,18,50,316.9000,445.0100,1986.3,7.68,-1,0,1992.98,
Mark-to-Market Performance Summary,Data,Stocks,TSM,135,140,228.6700,323.6300,12964.15,-7.15,-1,222.33,13178.33,
Mark-to-Market Performance Summary,Data,Stocks,TT,11,11,439.1900,381.7000,-632.39,0,0,20.68,-611.71,
Mark-to-Market Performance Summary,Data,Stocks,TTD,46,201,75.4300,37.2900,-2182.24,46.4,-1,0,-2136.84,
Mark-to-Market Performance Summary,Data,Stocks,TXN,32,41,220.0500,190.3100,-881.75,13.59,-1,88.96,-780.2,
Mark-to-Market Performance Summary,Data,Stocks,UNH,0,30,--,343.9800,392.1,-122.7,-1,66.3,334.7,
Mark-to-Market Performance Summary,Data,Stocks,VMC,13,13,269.9300,311.6200,541.97,0,0,12.74,554.71,
Mark-to-Market Performance Summary,Data,Stocks,VRTX,8,8,472.3500,463.8600,-67.92,0,0,0,-67.92,
Mark-to-Market Performance Summary,Data,Stocks,VSNT,0,11.64,--,34.4100,-71.7048,0,0,0,-71.7048,
Mark-to-Market Performance Summary,Data,Stocks,VST,20,20,194.8100,166.3700,-568.8,0,0,9.06,-559.74,
Mark-to-Market Performance Summary,Data,Stocks,VZ,0,211,--,40.4600,-259.53,84.4,-1.055,0,-176.185,
Mark-to-Market Performance Summary,Data,Stocks,WMT,269,184,95.7800,114.5300,5093.05,-17,-1.01411,106.46,5181.49589,
Mark-to-Market Performance Summary,Data,Stocks,XIACY,0,290,--,24.3500,-864.2,-49.3,-1.45,0,-914.95,
Mark-to-Market Performance Summary,Data,Stocks,XOM,116,124,113.9200,124.6100,1304.6,-3.68,-1,234.32,1534.24,
Mark-to-Market Performance Summary,Data,Stocks,XYL,0,46,--,139.6900,31.28,-105.8,-1,0,-75.52,
Mark-to-Market Performance Summary,Data,Stocks,ZTS,32,32,155.6500,127.1700,-911.36,0,0,32,-879.36,
Mark-to-Market Performance Summary,Data,P/L on FX Translation (Stocks),,,,,,,,,,-8.82,
Mark-to-Market Performance Summary,Data,Total,,,,,,172991.68925,-2340.22495,-113.78648282,8409.14,178937.996917179,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,172991.68925,-2340.22495,-113.78648282,8409.14,178937.996917179,
Mark-to-Market Performance Summary,Data,Broker Interest Paid and Received,,,,,,,,,,42.725936,
Total P/L for Statement Period,,,,,,,,,,,,178980.722853179,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,AAPL,0,0,0,0,0,0,2879.028215,-953.65,0,0,1925.378215,1925.378215,
Realized & Unrealized Performance Summary,Data,Stocks,ABBV,0,39.67896564,0,0,0,39.67896564,1534.765853,0,0,0,1534.765853,1574.44481864,
Realized & Unrealized Performance Summary,Data,Stocks,ABT,0,0,0,0,0,0,1.34,-170.757795,0,0,-169.417795,-169.417795,
Realized & Unrealized Performance Summary,Data,Stocks,ACN,0,0,0,0,0,0,33.29,-393.525801,0,0,-360.235801,-360.235801,
Realized & Unrealized Performance Summary,Data,Stocks,ADBE,0,0,0,0,0,0,3.25,-396.720498,0,0,-393.470498,-393.470498,
Realized & Unrealized Performance Summary,Data,Stocks,ADI,0,201.41063256,0,0,0,201.41063256,2711.177471,0,0,0,2711.177471,2912.58810356,
Realized & Unrealized Performance Summary,Data,Stocks,ADP,0,0,0,0,0,0,131.71,0,0,0,131.71,131.71,
Realized & Unrealized Performance Summary,Data,Stocks,ALC,0,0,0,0,0,0,0,-356.076901,0,0,-356.076901,-356.076901,
Realized & Unrealized Performance Summary,Data,Stocks,ALNY,0,0,0,0,0,0,1198.446083,0,0,0,1198.446083,1198.446083,
Realized & Unrealized Performance Summary,Data,Stocks,AMAT,0,0,0,0,0,0,5065.31672,0,0,0,5065.31672,5065.31672,
Realized & Unrealized Performance Summary,Data,Stocks,AMD,0,0,0,0,0,0,11469.253177,-1191.4,0,0,10277.853177,10277.853177,
Realized & Unrealized Performance Summary,Data,Stocks,AMGN,0,0,0,0,0,0,0,-358.65,0,0,-358.65,-358.65,
Realized & Unrealized Performance Summary,Data,Stocks,AMZN,0,2014.074055,0,0,0,2014.074055,10378.290262,0,0,0,10378.290262,12392.364317,
Realized & Unrealized Performance Summary,Data,Stocks,ANET,0,0,0,0,0,0,0,-285.58,0,0,-285.58,-285.58,
Realized & Unrealized Performance Summary,Data,Stocks,APD,0,0,0,0,0,0,0,-93.025525,0,0,-93.025525,-93.025525,
Realized & Unrealized Performance Summary,Data,Stocks,APH,0,0,0,0,0,0,13.04,0,0,0,13.04,13.04,
Realized & Unrealized Performance Summary,Data,Stocks,APP,0,0,0,0,0,0,0,-397.18,0,0,-397.18,-397.18,
